x,y
0,1645
1,1530
2,1518
3,1617
4,1745
5,1790
6,1745
7,1621
8,1503
9,1470
10,1557
11,1693
12,1771
13,1754
14,1649
15,1523
16,1471
17,1554
18,1673
19,1767
20,1774
21,1685
22,1563
23,1489
24,1533
25,1667
26,1791
27,1795
28,1725
29,1600
30,1509
31,1530
32,1655
33,1779
34,1822
35,1777
36,1639
37,1535
38,1533
39,1648
40,1785
41,1850
42,1734
43,1808
44,1809
45,1776
46,1732
47,1718
48,1729
49,1770
50,1802
51,1783
52,1765
53,1797
54,1795
55,1818
56,1859
57,1906
58,1921
59,1899
60,1843
61,1808
62,1817
63,1863
64,1921
65,1952
66,1939
67,1901
68,1865
69,1856
70,1881
71,1926
72,1955
73,1958
74,1931
75,1901
76,1895
77,1919
78,1969
79,1951
80,1924
81,1962
82,1933
83,1935
84,1966
85,2019
86,2066
87,2073
88,2035
89,1985
90,1953
91,1955
92,1995
93,2058
94,2081
95,2064
96,2016
97,1990
98,1991
99,2018
100,2064
101,2076
102,2055
103,2000
104,1963
105,1953
106,1980
107,2030
108,2047
109,2028
110,1972
111,1914
112,1893
113,1904
114,1939
115,1959
116,1939
117,1888
118,1831
119,1807
120,1813
121,1853
122,1884
123,1879
124,1843
125,1790
126,1758
127,1760
128,1799
129,1844
130,1852
131,1825
132,1779
133,1753
134,1763
135,1806
136,1808
137,1805
138,1829
139,1786
140,1753
141,1761
142,1804
143,1856
144,1878
145,1871
146,1831
147,1789
148,1777
149,1801
150,1846
151,1872
152,1872
153,1836
154,1787
155,1773
156,1792
157,1847
158,1888
159,1882
160,1850
161,1803
162,1781
163,1791
164,1827
165,1863
166,1873
167,1857
168,1824
169,1807
170,1817
171,1849
172,1883
173,1888
174,1870
175,1831
176,1803
177,1799
178,1831
179,1874
180,1888
181,1872
182,1834
183,1793
184,1785
185,1808
186,1855
187,1878
188,1872
189,1829
190,1779
191,1763
192,1786
193,1838
194,1872
195,1870
196,1837
197,1791
198,1776
199,1797
200,1854
201,1866
202,1875
203,1906
204,1866
205,1839
206,1842
207,1875
208,1911
209,1911
210,1881
211,1834
212,1802
213,1803
214,1838
215,1887
216,1860
217,1850
218,1775
219,1712
220,1627
221,1758
222,1746
223,1780
224,1781
225,1747
226,1706
227,1686
228,1716
229,1750
230,1790
231,1792
232,1765
233,1723
234,1700
235,1712
236,1757
237,1795
238,1794
239,1771
240,1723
241,1695
242,1702
243,1750
244,1783
245,1788
246,1757
247,1685
248,1629
249,1622
250,1680
251,1783
252,1883
253,1989
254,2128
255,2305
256,2481
257,2649
258,2787
259,2832
260,2725
261,2544
262,2341
263,2165
264,2058
265,1971
266,1920
267,1847
268,1751
269,1651
270,1590
271,1571
272,1598
273,1659
274,1678
275,1679
276,1616
277,1619
278,1629
279,1664
280,1724
281,1749
282,1751
283,1696
284,1662
285,1661
286,1693
287,1744
288,1767
289,1761
290,1727
291,1706
292,1691
293,1712
294,1766
295,1793
296,1791
297,1760
298,1726
299,1712
300,1744
301,1777
302,1814
303,1823
304,1803
305,1771
306,1766
307,1783
308,1823
309,1874
310,1873
311,1855
312,1826
313,1809
314,1823
315,1861
316,1909
317,1933
318,1937
319,1897
320,1872
321,1872
322,1899
323,1945
324,1963
325,1953
326,1919
327,1903
328,1883
329,1898
330,1940
331,1963
332,1959
333,1926
334,1898
335,1851
336,1872
337,1885
338,1904
339,1897
340,1857
341,1807
342,1779
343,1778
344,1803
345,1841
346,1825
347,1790
348,1748
349,1714
350,1708
351,1721
352,1747
353,1759
354,1751
355,1703
356,1673
357,1664
358,1682
359,1718
360,1729
361,1714
362,1678
363,1655
364,1636
365,1654
366,1697
367,1718
368,1712
369,1680
370,1644
371,1623
372,1648
373,1677
374,1708
375,1716
376,1695
377,1663
378,1651
379,1665
380,1708
381,1759
382,1751
383,1728
384,1685
385,1657
386,1659
387,1694
388,1740
389,1747
390,1746
391,1698
392,1669
393,1663
394,1657
395,1729
396,1750
397,1735
398,1698
399,1676
