x,y
0,1781
1,1781
2,1775
3,1779
4,1793
5,1808
6,1822
7,1825
8,1813
9,1799
10,1799
11,1809
12,1831
13,1848
14,1847
15,1840
16,1830
17,1825
18,1837
19,1854
20,1872
21,1875
22,1871
23,1866
24,1863
25,1872
26,1890
27,1904
28,1913
29,1913
30,1911
31,1905
32,1918
33,1936
34,1953
35,1966
36,1968
37,1957
38,1951
39,1956
40,1968
41,1987
42,1995
43,1989
44,1971
45,1954
46,1946
47,1943
48,1949
49,1947
50,1936
51,1920
52,1900
53,1887
54,1882
55,1889
56,1892
57,1882
58,1857
59,1837
60,1822
61,1823
62,1834
63,1840
64,1842
65,1841
66,1826
67,1814
68,1825
69,1840
70,1843
71,1847
72,1840
73,1822
74,1810
75,1819
76,1829
77,1844
78,1861
79,1845
80,1833
81,1820
82,1819
83,1826
84,1837
85,1845
86,1840
87,1826
88,1811
89,1807
90,1814
91,1830
92,1841
93,1839
94,1825
95,1811
96,1810
97,1822
98,1837
99,1851
100,1853
101,1838
102,1817
103,1805
104,1807
105,1823
106,1841
107,1854
108,1846
109,1835
110,1824
111,1825
112,1840
113,1853
114,1855
115,1848
116,1839
117,1826
118,1827
119,1836
120,1845
121,1855
122,1850
123,1838
124,1824
125,1818
126,1828
127,1841
128,1853
129,1857
130,1850
131,1840
132,1831
133,1835
134,1840
135,1852
136,1857
137,1850
138,1840
139,1831
140,1835
141,1846
142,1870
143,1872
144,1866
145,1853
146,1837
147,1837
148,1850
149,1865
150,1869
151,1863
152,1851
153,1840
154,1840
155,1852
156,1866
157,1875
158,1872
159,1866
160,1849
161,1842
162,1851
163,1862
164,1872
165,1872
166,1863
167,1852
168,1843
169,1854
170,1863
171,1872
172,1873
173,1867
174,1856
175,1843
176,1851
177,1865
178,1874
179,1881
180,1874
181,1860
182,1850
183,1855
184,1867
185,1874
186,1880
187,1871
188,1856
189,1846
190,1846
191,1861
192,1877
193,1892
194,1889
195,1875
196,1862
197,1856
198,1863
199,1874
200,1889
201,1889
202,1880
203,1873
204,1857
205,1862
206,1873
207,1886
208,1889
209,1875
210,1865
211,1855
212,1858
213,1870
214,1881
215,1887
216,1883
217,1874
218,1867
219,1870
220,1882
221,1901
222,1906
223,1902
224,1886
225,1889
226,1899
227,1919
228,1937
229,1952
230,1953
231,1945
232,1938
233,1943
234,1959
235,1977
236,1981
237,1975
238,1953
239,1931
240,1918
241,1919
242,1930
243,1939
244,1936
245,1920
246,1899
247,1876
248,1872
249,1878
250,1892
251,1899
252,1891
253,1877
254,1863
255,1861
256,1870
257,1874
258,1875
259,1877
260,1860
261,1847
262,1847
263,1857
264,1875
265,1878
266,1888
267,1873
268,1860
269,1856
270,1865
271,1872
272,1870
273,1839
274,1786
275,1742
276,1730
277,1760
278,1808
279,1867
280,1952
281,2097
282,2294
283,2534
284,2809
285,3112
286,3390
287,3472
288,3274
289,2966
290,2654
291,2370
292,2142
293,1982
294,1886
295,1831
296,1792
297,1776
298,1777
299,1797
300,1815
301,1822
302,1807
303,1776
304,1761
305,1751
306,1761
307,1776
308,1790
309,1790
310,1780
311,1771
312,1766
313,1779
314,1798
315,1808
316,1807
317,1796
318,1782
319,1773
320,1779
321,1796
322,1815
323,1821
324,1820
325,1806
326,1794
327,1801
328,1815
329,1837
330,1849
331,1843
332,1831
333,1818
334,1819
335,1830
336,1844
337,1856
338,1854
339,1847
340,1840
341,1841
342,1856
343,1873
344,1888
345,1892
346,1878
347,1872
348,1872
349,1883
350,1904
351,1923
352,1930
353,1923
354,1911
355,1910
356,1919
357,1937
358,1963
359,1978
360,1978
361,1968
362,1966
363,1973
364,1995
365,2014
366,2026
367,2022
368,2003
369,1998
370,1994
371,2000
372,2003
373,2005
374,1998
375,1973
376,1954
377,1936
378,1937
379,1942
380,1943
381,1936
382,1913
383,1889
384,1873
385,1873
386,1879
387,1886
388,1877
389,1869
390,1855
391,1843
392,1850
393,1860
394,1871
395,1870
396,1863
397,1854
398,1846
399,1850
400,1862
401,1872
402,1872
403,1866
404,1845
405,1840
406,1840
407,1852
408,1862
409,1869
410,1863
411,1852
412,1840
413,1839
414,1846
415,1861
416,1871
417,1871
418,1856
419,1841
420,1840
421,1845
422,1855
423,1863
424,1861
425,1850
426,1838
427,1835
428,1840
429,1856
430,1872
431,1874
432,1872
433,1862
434,1856
435,1855
436,1866
437,1874
438,1878
439,1872
440,1855
441,1843
442,1842
443,1857
444,1874
445,1885
446,1885
447,1873
448,1863
449,1858
450,1863
451,1872
452,1879
453,1881
454,1878
455,1867
456,1863
457,1865
458,1877
459,1891
460,1890
461,1877
462,1868
463,1859
464,1861
465,1871
466,1878
467,1882
468,1872
469,1862
470,1854
471,1856
472,1869
473,1884
474,1895
475,1890
476,1871
477,1859
478,1855
479,1870
480,1881
481,1897
482,1893
483,1877
484,1859
485,1847
486,1856
487,1870
488,1885
489,1890
490,1881
491,1872
492,1865
493,1870
494,1878
495,1893
496,1891
497,1884
498,1870
499,1860
500,1865
501,1882
502,1899
503,1904
504,1894
505,1876
506,1868
507,1870
508,1885
509,1901
510,1904
511,1900
512,1875
513,1860
514,1857
515,1867
516,1876
517,1885
518,1885
519,1875
520,1862
521,1865
522,1874
523,1893
524,1904
525,1904
526,1888
527,1870
528,1859
529,1867
530,1876
531,1892
532,1898
533,1895
534,1876
535,1871
536,1875
537,1890
538,1904
539,1904
540,1900
541,1888
542,1885
543,1886
544,1901
545,1918
546,1930
547,1936
548,1933
549,1921
550,1923
551,1934
552,1943
553,1954
554,1966
555,1968
556,1968
557,1968
558,1974
559,1975
560,1970
561,1957
