x,y
0,1655
1,1728
2,1841
3,1968
4,1947
5,1761
6,1621
7,1618
8,1687
9,1792
10,1905
11,1905
12,1732
13,1648
14,1742
15,1751
16,1751
17,1745
18,1744
19,1765
20,1803
21,1821
22,1810
23,1794
24,1777
25,1762
26,1765
27,1791
28,1807
29,1795
30,1777
31,1763
32,1747
33,1753
34,1779
35,1802
36,1797
37,1781
38,1761
39,1744
40,1737
41,1761
42,1783
43,1781
44,1762
45,1744
46,1727
47,1718
48,1741
49,1770
50,1776
51,1766
52,1753
53,1744
54,1735
55,1755
56,1791
57,1811
58,1808
59,1799
60,1791
61,1784
62,1805
63,1840
64,1863
65,1856
66,1840
67,1829
68,1818
69,1819
70,1850
71,1874
72,1865
73,1843
74,1830
75,1810
76,1808
77,1827
78,1808
79,1771
80,1781
81,1761
82,1751
83,1755
84,1783
85,1819
86,1827
87,1814
88,1799
89,1785
90,1770
91,1779
92,1808
93,1822
94,1808
95,1793
96,1777
97,1769
98,1778
99,1809
100,1831
101,1821
102,1807
103,1794
104,1781
105,1791
106,1818
107,1843
108,1840
109,1825
110,1808
111,1796
112,1795
113,1818
114,1842
115,1840
116,1827
117,1809
118,1793
119,1785
120,1807
121,1837
122,1841
123,1824
124,1801
125,1783
126,1776
127,1790
128,1819
129,1833
130,1815
131,1795
132,1776
133,1760
134,1771
135,1799
136,1821
137,1810
138,1794
139,1719
140,1744
141,1743
142,1772
143,1799
144,1806
145,1795
146,1781
147,1770
148,1769
149,1791
150,1813
151,1811
152,1801
153,1793
154,1795
155,1808
156,1851
157,1898
158,1917
159,1906
160,1889
161,1869
162,1855
163,1874
164,1926
165,1967
166,1968
167,1957
168,1936
169,1915
170,1923
171,1953
172,1969
173,1951
174,1917
175,1844
176,1787
177,1727
178,1679
179,1634
180,1588
181,1535
182,1530
183,1520
184,1527
185,1562
186,1595
187,1597
188,1563
189,1564
190,1535
191,1468
192,1552
193,1589
194,1605
195,1603
196,1600
197,1587
198,1581
199,1611
200,1631
201,1661
202,1632
203,1623
204,1598
205,1565
206,1530
207,1500
208,1459
209,1358
210,1263
211,1221
212,1286
213,1506
214,1882
215,2384
216,2977
217,3702
218,4095
219,4095
220,4095
221,4037
222,3460
223,2780
224,2250
225,1870
226,1616
227,1418
228,1327
229,1325
230,1370
231,1427
232,1472
233,1511
234,1535
235,1587
236,1609
237,1618
238,1603
239,1584
240,1571
241,1559
242,1574
243,1606
244,1642
245,1619
246,1606
247,1591
248,1582
249,1588
250,1617
251,1648
252,1648
253,1643
254,1616
255,1600
256,1603
257,1631
258,1663
259,1666
260,1648
261,1633
262,1616
263,1607
264,1625
265,1663
266,1669
267,1663
268,1650
269,1643
270,1641
271,1677
272,1701
273,1715
274,1703
275,1682
276,1669
277,1661
278,1674
279,1705
280,1734
281,1711
282,1683
283,1666
284,1648
285,1651
286,1678
287,1698
288,1687
289,1679
290,1648
291,1635
292,1635
293,1660
294,1694
295,1694
296,1675
297,1657
298,1659
299,1648
300,1680
301,1723
302,1742
303,1732
304,1717
305,1712
306,1714
307,1757
308,1790
309,1817
310,1809
311,1793
312,1778
313,1769
314,1782
315,1817
316,1855
317,1834
318,1810
319,1793
320,1776
321,1777
322,1805
323,1826
324,1817
325,1797
326,1775
327,1753
328,1742
329,1774
330,1790
331,1794
332,1779
333,1769
334,1771
335,1759
336,1782
337,1813
338,1818
339,1803
340,1787
341,1774
342,1766
343,1803
344,1822
345,1834
346,1813
347,1794
348,1778
349,1769
350,1780
351,1814
352,1849
353,1826
354,1806
355,1787
356,1775
357,1781
358,1811
359,1840
360,1837
361,1827
362,1798
363,1783
364,1780
365,1807
366,1838
367,1834
368,1809
369,1790
370,1783
371,1765
372,1787
373,1814
374,1823
375,1808
376,1783
377,1772
378,1761
379,1791
380,1811
381,1828
382,1813
383,1790
384,1774
385,1755
386,1767
387,1797
388,1830
389,1806
390,1779
391,1761
392,1747
393,1755
394,1786
395,1815
396,1812
397,1803
398,1775
399,1761
400,1755
401,1778
402,1811
403,1799
404,1807
405,1797
406,1808
407,1810
408,1854
409,1904
410,1919
411,1901
412,1873
413,1853
414,1849
415,1893
416,1937
417,1971
418,1968
419,1947
420,1927
421,1907
422,1909
423,1925
424,1936
425,1892
426,1846
427,1803
428,1757
429,1730
430,1735
431,1754
432,1744
433,1732
434,1712
435,1701
436,1702
437,1727
438,1755
439,1755
440,1733
441,1713
442,1709
443,1697
444,1722
445,1756
446,1765
447,1746
448,1728
449,1711
450,1699
451,1720
452,1752
453,1770
454,1751
455,1730
456,1663
457,1584
458,1501
459,1457
460,1393
461,1335
462,1353
463,1488
464,1761
465,2192
466,2777
467,3559
468,4095
469,4095
470,4095
471,4095
472,3839
473,3138
474,2559
475,2148
476,1840
477,1606
478,1431
479,1342
480,1360
481,1454
482,1535
483,1594
484,1617
485,1621
486,1616
487,1629
488,1656
489,1675
490,1658
491,1642
492,1631
493,1621
494,1637
495,1671
496,1699
497,1687
498,1670
499,1653
500,1642
501,1648
502,1680
503,1712
504,1709
505,1690
506,1671
507,1654
508,1653
509,1680
510,1716
511,1719
512,1702
513,1685
514,1666
515,1662
516,1688
517,1727
518,1742
519,1726
520,1686
521,1674
522,1674
523,1691
524,1725
525,1744
526,1734
527,1718
528,1707
529,1692
530,1698
531,1727
532,1745
533,1733
534,1711
535,1691
536,1675
537,1677
538,1705
539,1730
540,1723
541,1699
542,1680
543,1665
544,1664
545,1692
546,1728
547,1733
548,1712
549,1697
550,1687
551,1686
552,1712
553,1750
554,1766
555,1762
556,1753
557,1749
558,1751
559,1779
560,1820
561,1840
562,1824
563,1805
564,1792
565,1785
566,1799
567,1835
568,1857
569,1840
570,1818
571,1803
572,1786
573,1787
574,1808
575,1830
576,1821
577,1796
578,1775
579,1751
580,1746
581,1777
582,1812
583,1792
584,1776
585,1766
586,1750
587,1744
588,1774
589,1815
590,1827
591,1814
592,1794
593,1783
594,1776
595,1793
596,1829
597,1841
598,1827
599,1807
600,1791
601,1781
602,1793
603,1825
604,1845
605,1838
606,1813
607,1805
608,1791
609,1795
610,1821
611,1846
612,1841
613,1823
614,1803
615,1785
616,1782
617,1807
618,1838
619,1840
620,1814
621,1795
622,1780
623,1775
624,1793
625,1823
626,1831
627,1808
628,1790
629,1774
630,1762
631,1776
632,1808
633,1823
634,1807
635,1786
636,1766
637,1751
638,1763
639,1795
640,1821
641,1811
642,1793
643,1776
644,1759
645,1759
646,1789
647,1811
648,1807
649,1785
650,1767
651,1758
652,1761
653,1797
654,1819
655,1822
656,1778
657,1773
658,1749
659,1744
660,1767
661,1806
662,1827
663,1825
664,1824
665,1827
666,1833
667,1857
668,1897
669,1916
670,1894
671,1874
672,1854
673,1852
674,1885
675,1936
676,1974
677,1968
678,1945
679,1926
680,1914
681,1901
682,1917
683,1930
684,1905
685,1866
686,1815
687,1767
688,1728
689,1739
690,1751
691,1749
692,1733
693,1718
694,1703
695,1695
696,1715
697,1747
698,1770
699,1741
700,1719
701,1701
702,1687
703,1706
704,1739
705,1755
706,1743
707,1724
708,1707
709,1691
710,1700
711,1731
712,1755
713,1715
714,1682
715,1616
716,1535
717,1458
718,1406
719,1372
720,1362
721,1437
722,1638
723,1969
724,2457
725,3110
726,3997
727,4095
728,4095
729,4095
730,4067
731,3451
732,2800
733,2325
734,2003
735,1738
736,1533
737,1395
738,1339
739,1382
740,1483
741,1583
742,1622
743,1648
744,1632
745,1619
746,1621
747,1648
748,1669
749,1660
750,1645
751,1630
752,1630
753,1622
754,1656
755,1691
756,1694
757,1677
758,1655
759,1639
760,1635
761,1674
762,1697
763,1705
764,1690
765,1670
766,1663
767,1658
768,1679
769,1712
770,1739
771,1713
772,1697
773,1680
774,1665
775,1680
776,1718
777,1744
778,1739
779,1732
780,1706
781,1681
782,1683
783,1719
784,1747
785,1746
786,1734
787,1721
788,1715
789,1711
790,1737
791,1762
792,1754
793,1733
794,1711
795,1693
796,1686
797,1722
798,1741
799,1739
800,1715
801,1698
802,1679
803,1674
804,1697
805,1741
806,1772
807,1744
808,1728
809,1715
810,1712
811,1730
812,1769
813,1798
814,1796
815,1798
816,1782
817,1779
818,1799
819,1838
820,1870
821,1865
822,1847
823,1834
824,1831
825,1824
826,1856
827,1887
828,1883
829,1863
830,1840
831,1820
832,1808
833,1840
834,1855
835,1856
836,1838
837,1824
838,1795
839,1778
840,1793
841,1819
842,1837
843,1804
844,1779
845,1774
846,1771
847,1793
848,1829
849,1853
850,1841
851,1835
852,1802
853,1787
854,1795
855,1827
856,1855
857,1847
858,1831
859,1808
860,1807
861,1798
862,1824
863,1856
864,1857
865,1836
866,1809
867,1795
868,1790
869,1826
870,1849
871,1850
872,1833
873,1811
874,1794
875,1782
876,1798
877,1827
878,1855
879,1827
880,1805
881,1781
882,1767
883,1776
884,1811
885,1835
886,1823
887,1808
888,1776
889,1761
890,1763
891,1792
892,1819
893,1808
894,1787
895,1767
896,1757
897,1744
898,1774
899,1806
900,1808
901,1790
902,1770
903,1748
904,1737
905,1771
906,1793
907,1801
908,1776
909,1753
910,1735
911,1721
912,1723
913,1780
914,1829
915,1835
916,1835
917,1830
918,1819
919,1823
920,1850
921,1874
922,1883
923,1903
924,1895
925,1891
926,1895
927,1919
928,1936
929,1929
930,1909
931,1887
932,1855
933,1823
934,1817
935,1813
936,1778
937,1727
938,1686
939,1659
940,1653
941,1679
942,1711
943,1717
944,1699
945,1680
946,1665
947,1654
948,1667
949,1703
950,1730
951,1707
952,1684
953,1670
954,1663
955,1677
956,1707
957,1726
958,1712
959,1699
960,1671
961,1659
962,1657
963,1663
964,1642
965,1565
966,1456
967,1349
968,1282
969,1267
970,1391
971,1639
972,1982
973,2444
974,2995
975,3619
976,4015
977,4095
978,4054
979,3681
980,3047
981,2507
982,2126
983,1856
984,1702
985,1584
986,1477
987,1371
988,1329
989,1358
990,1421
991,1502
992,1596
993,1648
994,1648
995,1642
996,1606
997,1589
998,1590
999,1617
1000,1648
1001,1649
1002,1637
1003,1621
1004,1617
1005,1611
1006,1637
1007,1673
1008,1675
1009,1655
1010,1645
1011,1626
1012,1622
1013,1659
1014,1682
1015,1693
1016,1680
1017,1662
1018,1648
1019,1637
1020,1655
1021,1690
1022,1723
1023,1701
1024,1688
1025,1677
1026,1663
1027,1679
1028,1712
1029,1735
1030,1727
1031,1710
1032,1690
1033,1673
1034,1675
1035,1708
1036,1737
1037,1732
1038,1710
1039,1687
1040,1683
1041,1669
1042,1689
1043,1712
1044,1710
1045,1685
1046,1666
1047,1654
1048,1654
1049,1690
1050,1713
1051,1726
1052,1703
1053,1684
1054,1678
1055,1671
1056,1693
1057,1733
1058,1763
1059,1743
1060,1729
1061,1721
1062,1715
1063,1741
1064,1780
1065,1817
1066,1817
1067,1813
1068,1787
1069,1776
1070,1781
1071,1809
1072,1840
1073,1839
1074,1819
1075,1799
1076,1791
1077,1776
1078,1795
1079,1826
1080,1825
1081,1805
1082,1786
1083,1766
1084,1754
1085,1782
1086,1805
1087,1808
1088,1792
1089,1789
1090,1762
1091,1744
1092,1757
1093,1788
1094,1817
1095,1801
1096,1789
1097,1756
1098,1739
1099,1748
1100,1783
1101,1813
1102,1808
1103,1808
1104,1782
1105,1772
1106,1777
1107,1808
1108,1830
1109,1823
1110,1808
1111,1789
1112,1786
