x,y
0,1840
1,1910
2,1927
3,1856
4,1637
5,1503
6,1525
7,1761
8,1904
9,1936
10,1885
11,1685
12,1535
13,1495
14,1725
15,1887
16,1953
17,1929
18,1744
19,1570
20,1492
21,1691
22,1866
23,1965
24,1949
25,1787
26,1586
27,1483
28,1638
29,1833
30,1946
31,1930
32,1818
33,1616
34,1504
35,1595
36,1799
37,1923
38,1938
39,1872
40,1654
41,1519
42,1535
43,1775
44,1917
45,1952
46,1904
47,1702
48,1555
49,1499
50,1721
51,1879
52,1949
53,1919
54,1733
55,1553
56,1470
57,1675
58,1849
59,1936
60,1923
61,1767
62,1578
63,1481
64,1633
65,1824
66,1934
67,1926
68,1823
69,1625
70,1511
71,1598
72,1808
73,1925
74,1936
75,1868
76,1663
77,1531
78,1514
79,1755
80,1900
81,1945
82,1886
83,1683
84,1535
85,1498
86,1731
87,1874
88,1955
89,1926
90,1742
91,1557
92,1481
93,1693
94,1872
95,1968
96,1925
97,1777
98,1590
99,1486
100,1613
101,1801
102,1919
103,1920
104,1821
105,1603
106,1493
107,1569
108,1776
109,1891
110,1905
111,1853
112,1653
113,1520
114,1502
115,1736
116,1882
117,1936
118,1891
119,1697
120,1535
121,1494
122,1715
123,1872
124,1931
125,1904
126,1734
127,1563
128,1488
129,1670
130,1836
131,1918
132,1910
133,1776
134,1565
135,1490
136,1631
137,1819
138,1921
139,1915
140,1808
141,1614
142,1500
143,1585
144,1793
145,1904
146,1917
147,1865
148,1668
149,1535
150,1529
151,1749
152,1901
153,1920
154,1866
155,1680
156,1535
157,1507
158,1739
159,1885
160,1940
161,1904
162,1726
163,1535
164,1473
165,1677
166,1843
167,1929
168,1917
169,1777
170,1600
171,1492
172,1630
173,1814
174,1918
175,1915
176,1810
177,1607
178,1481
179,1559
180,1778
181,1903
182,1922
183,1852
184,1649
185,1519
186,1518
187,1746
188,1890
189,1925
190,1878
191,1685
192,1592
193,1476
194,1689
195,1847
196,1910
197,1888
198,1713
199,1534
200,1461
201,1662
202,1838
203,1936
204,1906
205,1786
206,1608
207,1491
208,1621
209,1808
210,1916
211,1912
212,1814
213,1625
214,1510
215,1584
216,1787
217,1911
218,1930
219,1866
220,1664
221,1526
222,1525
223,1743
224,1876
225,1913
226,1869
227,1676
228,1527
229,1495
230,1726
231,1885
232,1950
233,1925
234,1756
235,1584
236,1509
237,1687
238,1861
239,1951
240,1936
241,1794
242,1597
243,1488
244,1616
245,1808
246,1918
247,1915
248,1809
249,1610
250,1488
251,1571
252,1787
253,1919
254,1937
255,1867
256,1669
257,1584
258,1520
259,1760
260,1901
261,1942
262,1888
263,1705
264,1570
265,1508
266,1727
267,1911
268,1933
269,1901
270,1733
271,1566
272,1488
273,1668
274,1843
275,1931
276,1918
277,1783
278,1593
279,1492
280,1617
281,1802
282,1904
283,1903
284,1808
285,1615
286,1497
287,1559
288,1771
289,1901
290,1918
291,1857
292,1661
293,1523
294,1520
295,1759
296,1893
297,1936
298,1895
299,1699
300,1535
301,1479
302,1699
303,1857
304,1926
305,1902
306,1735
307,1563
308,1478
309,1654
310,1834
311,1924
312,1909
313,1780
314,1584
315,1479
316,1604
317,1797
318,1903
319,1901
320,1810
321,1616
322,1502
323,1561
324,1773
325,1900
326,1919
327,1851
328,1650
329,1513
330,1490
331,1738
332,1874
333,1919
334,1863
335,1680
336,1529
337,1478
338,1696
339,1847
340,1925
341,1893
342,1726
343,1559
344,1473
345,1645
346,1821
347,1923
348,1907
349,1782
350,1579
351,1471
352,1591
353,1787
354,1902
355,1904
356,1812
357,1616
358,1499
359,1553
360,1766
361,1904
362,1926
363,1866
364,1662
365,1520
366,1506
367,1742
368,1875
369,1921
370,1872
