x,y
0,1705
1,1727
2,1712
3,1691
4,1669
5,1658
6,1664
7,1679
8,1693
9,1699
10,1685
11,1664
12,1648
13,1646
14,1662
15,1680
16,1702
17,1701
18,1680
19,1664
20,1659
21,1677
22,1700
23,1718
24,1719
25,1702
26,1682
27,1680
28,1690
29,1710
30,1721
31,1726
32,1716
33,1706
34,1697
35,1707
36,1726
37,1745
38,1760
39,1754
40,1738
41,1720
42,1723
43,1739
44,1751
45,1765
46,1763
47,1749
48,1743
49,1742
50,1755
51,1775
52,1789
53,1783
54,1769
55,1758
56,1759
57,1774
58,1792
59,1810
60,1814
61,1805
62,1789
63,1778
64,1797
65,1824
66,1851
67,1861
68,1855
69,1839
70,1827
71,1836
72,1859
73,1866
74,1888
75,1875
76,1858
77,1840
78,1835
79,1843
80,1862
81,1867
82,1850
83,1824
84,1806
85,1793
86,1797
87,1807
88,1811
89,1801
90,1776
91,1754
92,1743
93,1744
94,1756
95,1762
96,1755
97,1731
98,1713
99,1710
100,1709
101,1721
102,1734
103,1735
104,1717
105,1697
106,1682
107,1687
108,1711
109,1729
110,1735
111,1722
112,1702
113,1686
114,1686
115,1705
116,1726
117,1735
118,1726
119,1703
120,1689
121,1683
122,1703
123,1722
124,1740
125,1735
126,1718
127,1707
128,1703
129,1717
130,1737
131,1750
132,1753
133,1731
134,1711
135,1701
136,1709
137,1730
138,1739
139,1750
140,1735
141,1716
142,1706
143,1711
144,1729
145,1749
146,1755
147,1744
148,1726
149,1712
150,1712
151,1731
152,1753
153,1763
154,1750
155,1729
156,1710
157,1708
158,1726
159,1745
160,1757
161,1746
162,1729
163,1708
164,1702
165,1713
166,1735
167,1751
168,1748
169,1732
170,1712
171,1708
172,1717
173,1737
174,1753
175,1754
176,1738
177,1717
178,1707
179,1714
180,1717
181,1735
182,1747
183,1733
184,1712
185,1699
186,1707
187,1726
188,1744
189,1756
190,1753
191,1730
192,1712
193,1712
194,1727
195,1757
196,1767
197,1760
198,1733
199,1714
200,1713
201,1728
202,1748
203,1771
204,1769
205,1745
206,1728
207,1721
208,1719
209,1753
210,1770
211,1774
212,1758
213,1744
214,1743
215,1756
216,1789
217,1811
218,1822
219,1814
220,1798
221,1789
222,1801
223,1835
224,1874
225,1904
226,1909
227,1893
228,1872
229,1871
230,1885
231,1904
232,1904
233,1894
234,1859
235,1823
236,1791
237,1780
238,1778
239,1778
240,1766
241,1743
242,1719
243,1709
244,1712
245,1729
246,1740
247,1739
248,1719
249,1701
250,1694
251,1702
252,1721
253,1738
254,1732
255,1712
256,1690
257,1680
258,1688
259,1712
260,1735
261,1744
262,1732
263,1695
264,1643
265,1598
266,1594
267,1621
268,1667
269,1706
270,1734
271,1807
272,1953
273,2177
274,2437
275,2702
276,2961
277,3184
278,3227
279,2999
280,2679
281,2353
282,2091
283,1863
284,1712
285,1630
286,1605
287,1611
288,1629
289,1649
290,1650
291,1639
292,1617
293,1600
294,1600
295,1616
296,1636
297,1647
298,1638
299,1619
300,1606
301,1610
302,1627
303,1649
304,1665
305,1665
306,1648
307,1632
308,1629
309,1648
310,1669
311,1683
312,1682
313,1670
314,1657
315,1657
316,1678
317,1696
318,1714
319,1717
320,1709
321,1691
322,1683
323,1697
324,1713
325,1734
326,1743
327,1730
328,1717
329,1711
330,1707
331,1737
332,1759
333,1771
334,1762
335,1743
336,1733
