x,y
0,2095
1,2339
2,2559
3,2663
4,1920
5,1915
6,1917
7,1921
8,1936
9,1942
10,1937
11,1931
12,1925
13,1919
14,1919
15,1923
16,1921
17,1911
18,1899
19,1875
20,1862
21,1858
22,1857
23,1859
24,1856
25,1851
26,1838
27,1826
28,1822
29,1823
30,1824
31,1811
32,1807
33,1794
34,1793
35,1798
36,1803
37,1808
38,1811
39,1818
40,1822
41,1823
42,1825
43,1839
44,1840
45,1833
46,1827
47,1817
48,1808
49,1808
50,1813
51,1827
52,1839
53,1839
54,1831
55,1821
56,1819
57,1823
58,1826
59,1838
60,1840
61,1841
62,1833
63,1830
64,1833
65,1842
66,1849
67,1858
68,1841
69,1825
70,1819
71,1819
72,1833
73,1839
74,1842
75,1842
76,1838
77,1830
78,1828
79,1827
80,1834
81,1838
82,1840
83,1838
84,1831
85,1829
86,1834
87,1850
88,1872
89,1891
90,1895
91,1886
92,1872
93,1859
94,1861
95,1886
96,1904
97,1920
98,1927
99,1929
100,1931
101,1936
102,1935
103,1923
104,1908
105,1890
106,1871
107,1869
108,1858
109,1854
110,1846
111,1836
112,1822
113,1810
114,1808
115,1811
116,1822
117,1829
118,1818
119,1809
120,1806
121,1808
122,1810
123,1818
124,1819
125,1817
126,1811
127,1811
128,1814
129,1814
130,1801
131,1765
132,1740
133,1683
134,1657
135,1661
136,1671
137,1691
138,1740
139,1825
140,1973
141,2199
142,2417
143,2588
144,2627
145,2559
146,2428
147,2262
148,2107
149,1971
150,1878
151,1813
152,1789
153,1807
154,1845
155,1882
156,1898
157,1903
158,1895
159,1885
160,1868
161,1844
162,1834
163,1816
164,1818
165,1823
166,1834
167,1840
168,1839
169,1835
170,1833
171,1835
172,1842
173,1843
174,1849
175,1850
176,1847
177,1844
178,1843
179,1850
180,1859
181,1872
182,1874
183,1872
184,1869
185,1868
186,1872
187,1878
188,1892
189,1898
190,1902
191,1898
192,1902
193,1903
194,1909
195,1917
196,1927
197,1923
198,1918
199,1913
200,1910
201,1911
202,1918
203,1934
204,1935
205,1936
206,1934
207,1930
208,1927
209,1936
210,1950
211,1958
212,1957
213,1952
214,1942
215,1940
216,1941
217,1951
218,1960
219,1956
220,1950
221,1945
222,1953
223,1955
224,1957
225,1954
226,1946
227,1936
228,1924
229,1917
230,1914
231,1913
232,1919
233,1917
234,1905
235,1886
236,1875
237,1872
238,1872
239,1863
240,1857
241,1845
242,1840
243,1837
244,1841
245,1854
246,1861
247,1860
248,1849
249,1839
250,1834
251,1833
252,1839
253,1846
254,1849
255,1854
256,1853
257,1853
258,1850
259,1849
260,1850
261,1840
262,1850
263,1841
264,1845
265,1831
266,1850
267,1863
268,1873
269,1873
270,1872
271,1867
272,1860
273,1867
274,1872
275,1878
276,1874
277,1869
278,1861
279,1858
280,1870
281,1878
282,1885
283,1872
284,1856
285,1842
286,1842
287,1854
288,1866
289,1872
290,1878
291,1875
292,1867
293,1858
294,1858
295,1870
296,1881
297,1890
298,1898
299,1893
300,1897
301,1898
302,1906
303,1915
304,1915
305,1908
306,1904
307,1904
308,1920
309,1948
310,1971
311,1994
312,1990
313,1981
314,1966
315,1942
316,1932
317,1926
318,1927
319,1923
320,1904
321,1878
322,1859
323,1855
324,1856
325,1869
326,1871
327,1859
328,1847
329,1836
330,1827
331,1837
332,1850
333,1859
334,1862
335,1858
336,1850
337,1843
338,1844
339,1850
340,1856
341,1847
342,1826
343,1792
344,1750
345,1714
346,1706
347,1716
348,1735
349,1752
350,1786
351,1852
352,1978
353,2183
354,2419
355,2623
356,2683
357,2624
358,2480
359,2304
360,2154
361,2018
362,1918
363,1842
364,1794
365,1781
366,1811
367,1865
368,1907
369,1933
370,1932
371,1915
372,1891
373,1872
374,1866
375,1869
376,1871
377,1868
378,1860
379,1853
380,1854
381,1858
382,1863
383,1872
384,1875
385,1872
386,1868
387,1863
388,1872
389,1886
390,1904
391,1905
392,1899
393,1898
394,1892
395,1895
396,1903
397,1915
398,1924
399,1923
400,1918
401,1922
402,1926
403,1932
404,1937
405,1945
406,1942
407,1936
408,1934
409,1932
410,1936
411,1947
412,1956
413,1962
414,1963
415,1959
416,1963
417,1968
418,1983
419,1990
420,1987
421,1984
422,1969
423,1962
424,1965
425,1970
426,1977
427,1982
428,1973
429,1961
430,1954
431,1957
432,1968
433,1982
434,1987
435,1983
436,1971
437,1965
438,1957
439,1959
440,1962
441,1961
442,1952
443,1938
444,1928
445,1922
446,1917
447,1916
448,1919
449,1906
450,1901
451,1890
452,1885
453,1882
454,1885
455,1886
456,1879
457,1872
458,1867
459,1867
460,1871
461,1875
462,1888
463,1887
464,1882
465,1875
466,1872
467,1871
468,1872
469,1883
470,1888
471,1881
472,1869
473,1860
474,1865
475,1876
476,1894
477,1904
478,1904
479,1898
480,1889
481,1886
482,1891
483,1897
484,1902
485,1904
486,1903
487,1895
488,1891
489,1891
490,1902
491,1906
492,1905
493,1900
494,1887
495,1883
496,1890
497,1904
498,1910
499,1914
500,1911
501,1901
502,1889
503,1882
504,1886
505,1896
506,1904
507,1906
508,1904
509,1903
510,1905
511,1918
512,1935
513,1953
514,1958
515,1963
516,1954
517,1939
518,1946
519,1942
520,1963
521,1982
522,1988
523,1994
524,1995
525,1991
526,1995
527,1994
528,1982
529,1963
530,1947
531,1933
532,1920
533,1910
534,1904
535,1897
536,1879
537,1862
538,1847
539,1853
540,1861
541,1872
542,1879
543,1876
544,1870
545,1867
546,1863
547,1872
548,1875
549,1877
550,1872
551,1856
552,1846
553,1847
554,1848
555,1841
556,1820
557,1776
558,1728
559,1703
560,1713
561,1742
562,1771
563,1814
564,1902
565,2037
566,2252
567,2480
568,2678
569,2736
570,2665
571,2480
572,2260
573,2071
574,1936
575,1861
576,1832
577,1855
578,1904
579,1950
580,1965
581,1967
582,1955
583,1941
584,1923
585,1907
586,1893
587,1875
588,1869
589,1873
590,1872
591,1878
592,1882
593,1878
594,1872
595,1869
596,1872
597,1882
598,1893
599,1903
600,1902
601,1894
602,1888
603,1894
604,1898
605,1907
606,1915
607,1916
608,1914
609,1907
610,1907
611,1915
612,1921
613,1931
614,1935
615,1934
616,1926
617,1925
618,1935
619,1945
620,1954
621,1965
622,1968
623,1967
624,1962
625,1959
626,1968
627,1974
628,1980
629,1979
630,1979
631,1981
632,1986
633,1991
634,2001
635,2003
636,2001
637,1997
638,1984
639,1980
640,1982
641,1986
642,1998
643,1997
644,1985
645,1977
646,1975
647,1979
648,1980
649,1987
650,1989
651,1990
652,1977
653,1967
654,1957
655,1957
656,1953
657,1943
658,1930
659,1913
660,1904
661,1902
662,1899
663,1899
664,1902
665,1891
666,1874
667,1861
668,1857
669,1862
670,1866
671,1871
672,1870
673,1862
674,1856
675,1854
676,1855
677,1859
678,1869
679,1871
680,1868
681,1860
682,1859
683,1860
684,1866
685,1874
686,1877
687,1876
688,1872
689,1868
690,1869
691,1872
692,1880
693,1889
694,1884
695,1876
696,1873
697,1873
698,1876
699,1887
700,1891
701,1882
702,1876
703,1870
704,1868
705,1874
706,1882
707,1892
708,1893
709,1890
710,1878
711,1873
712,1881
713,1888
714,1898
715,1899
716,1894
717,1884
718,1889
719,1883
720,1885
721,1889
722,1891
723,1887
724,1881
725,1875
726,1875
727,1878
728,1884
729,1890
730,1890
731,1889
732,1888
733,1897
734,1911
735,1934
736,1949
737,1946
738,1936
739,1919
740,1907
741,1918
742,1939
743,1968
744,1982
745,1983
746,1969
747,1962
748,1953
749,1950
750,1938
751,1935
752,1925
753,1908
754,1901
755,1888
756,1886
757,1885
758,1878
759,1870
760,1862
761,1855
762,1859
763,1863
764,1872
765,1872
766,1872
767,1866
768,1850
769,1865
770,1866
771,1872
772,1879
773,1858
774,1855
775,1841
776,1835
777,1825
778,1808
779,1776
780,1734
781,1714
782,1712
783,1718
784,1733
785,1771
786,1856
787,1996
788,2219
789,2467
790,2672
791,2739
792,2663
793,2478
794,2259
795,2071
796,1942
797,1868
798,1837
799,1864
800,1915
801,1957
802,1975
803,1972
804,1962
805,1941
806,1919
807,1895
808,1878
809,1863
810,1854
811,1847
812,1847
813,1850
814,1858
815,1866
816,1871
817,1867
818,1861
819,1865
820,1872
821,1881
822,1885
823,1887
824,1882
825,1874
826,1876
827,1884
828,1889
829,1895
830,1901
831,1897
832,1890
833,1898
834,1903
835,1914
836,1925
837,1926
838,1927
839,1920
840,1911
841,1917
842,1927
843,1936
844,1950
845,1953
846,1952
847,1949
848,1953
849,1962
850,1969
851,1978
852,1979
853,1974
854,1967
855,1968
856,1973
857,1988
858,1995
859,1995
860,1986
861,1981
862,1974
863,1971
864,1975
865,1979
866,1983
867,1983
868,1979
869,1974
870,1976
871,1982
872,1984
873,1984
874,1978
875,1962
876,1947
877,1936
878,1936
879,1936
880,1937
881,1925
882,1905
883,1887
884,1873
885,1874
886,1877
887,1878
888,1875
889,1863
890,1853
891,1845
892,1844
893,1851
894,1857
895,1858
896,1851
897,1839
898,1841
899,1840
900,1851
901,1856
902,1860
903,1861
904,1859
905,1857
906,1855
907,1859
908,1859
909,1866
910,1863
911,1854
912,1852
913,1855
914,1860
915,1870
916,1878
917,1877
918,1872
919,1870
920,1871
921,1872
922,1876
923,1878
924,1878
925,1875
926,1871
927,1871
928,1872
929,1881
930,1882
931,1877
932,1872
933,1872
934,1872
935,1872
936,1882
937,1886
938,1884
939,1881
940,1874
941,1873
942,1873
943,1874
944,1872
945,1872
946,1867
947,1863
948,1861
949,1863
950,1873
951,1885
952,1887
953,1875
954,1866
955,1854
956,1856
957,1866
958,1878
959,1892
960,1904
961,1903
962,1904
963,1919
964,1929
965,1937
966,1939
967,1933
968,1913
969,1893
970,1889
971,1918
972,1947
973,1971
974,1974
975,1966
976,1949
977,1933
978,1919
979,1921
980,1922
981,1922
982,1910
983,1895
984,1884
985,1879
986,1879
987,1872
988,1862
989,1853
990,1842
991,1840
992,1842
993,1859
994,1878
995,1886
996,1878
997,1869
998,1847
999,1846
1000,1857
1001,1870
1002,1872
1003,1862
1004,1856
1005,1840
1006,1814
1007,1777
1008,1744
1009,1725
1010,1721
1011,1727
1012,1727
1013,1736
1014,1785
1015,1896
1016,2087
1017,2323
1018,2554
1019,2680
1020,2675
1021,2559
1022,2384
1023,2208
1024,2064
1025,1950
1026,1870
1027,1835
1028,1849
1029,1891
1030,1939
1031,1967
1032,1968
1033,1951
1034,1923
1035,1904
1036,1895
1037,1888
1038,1887
1039,1886
1040,1875
1041,1867
1042,1862
1043,1867
1044,1871
1045,1880
1046,1883
1047,1877
1048,1863
1049,1855
1050,1856
1051,1867
1052,1881
1053,1891
1054,1898
1055,1893
1056,1890
1057,1887
1058,1896
1059,1909
1060,1921
1061,1924
1062,1916
1063,1905
1064,1904
1065,1920
1066,1936
1067,1949
1068,1954
1069,1946
1070,1936
1071,1936
1072,1936
1073,1943
1074,1958
1075,1968
1076,1969
1077,1968
1078,1968
1079,1977
1080,1983
1081,1987
1082,1982
1083,1971
1084,1964
1085,1963
1086,1968
1087,1982
1088,1998
1089,2005
1090,1999
1091,1989
1092,1974
1093,1985
1094,1990
1095,2000
1096,2003
1097,2000
1098,1991
1099,1975
1100,1970
1101,1973
1102,1981
1103,1986
